,lat,long,total_bikes
0,43.685924,-79.376304,11
0,43.645215,-79.364898,27
0,43.6462574,-79.3973381,17
0,43.646677,-79.442741,18
0,43.63855,-79.46693,19
0,43.645599,-79.4657123,11
0,43.674923,-79.430465,11
0,43.684758,-79.316767,11
0,43.66663,-79.38148,36
0,43.685221,-79.294766,20
0,43.635492,-79.398253,35
0,43.63951,-79.383717,19
0,43.641529,-79.386741,23
0,43.6417852,-79.4131148,23
0,43.655766,-79.3802,27
0,43.680466,-79.432522,11
0,43.664088,-79.387095,51
0,43.65917,-79.46997,20
0,43.671535,-79.379173,16
0,43.646734,-79.38301,23
0,43.6662942,-79.4066433,15
0,43.675278,-79.423889,27
0,43.648928,-79.378623,11
0,43.6509552,-79.3707,15
0,43.715951,-79.351246,27
0,43.665645,-79.304711,27
0,43.645572,-79.39399,19
0,43.652777,-79.372637,19
0,43.665538,-79.451263,15
0,43.650325,-79.372287,25
0,43.66943,-79.38915,15
0,43.669244,-79.3894,19
0,43.688526,-79.412903,15
0,43.683351,-79.41562,15
0,43.6574766,-79.373446,25
0,43.636611,-79.400042,19
0,43.646552,-79.406468,9
0,43.647259,-79.379878,27
0,43.713524,-79.400162,16
0,43.65003919999999,-79.3733541,15
0,43.653264,-79.382458,35
0,43.663376,-79.392125,19
0,43.660439,-79.385525,19
0,43.659226,-79.390213,11
0,43.65995,-79.38964,14
0,43.661803,-79.389682,12
0,43.660087,-79.385655,12
0,43.6146692,-79.4873148,17
0,43.626265,-79.476723,31
0,43.63771,-79.458173,27
0,43.6390437,-79.4760109,23
0,43.6486599,-79.4376413,15
0,43.6423847,-79.4240277,23
0,43.6702236,-79.4360232,23
0,43.67883,-79.408723,17
0,43.6752732,-79.3778458,23
0,43.645469,-79.411084,16
0,43.6882821,-79.4253856,19
0,43.651603,-79.408346,23
0,43.670206,-79.402643,19
0,43.661559,-79.413845,16
0,43.6560758,-79.393259,15
0,43.6580442,-79.3927404,15
0,43.6568254,-79.3966159,18
0,43.5927419,-79.54033009999999,19
0,43.597082,-79.522768,19
0,43.6171635,-79.4971065,31
0,43.612063,-79.496573,20
0,43.63732,-79.489083,19
0,43.5961692,-79.5160575,27
0,43.613606,-79.4883535,27
0,43.664665,-79.489385,23
0,43.665523,-79.484892,23
0,43.668496,-79.485426,19
0,43.698841,-79.519472,27
0,43.658574,-79.487246,15
0,43.63985,-79.43703,27
0,43.665076,-79.341509,17
0,43.6323994,-79.40978179999999,47
0,43.6935477,-79.3301658,15
0,43.6438036,-79.4770327,15
0,43.65246,-79.413528,20
0,43.6548521,-79.35397680000001,15
0,43.630874,-79.482407,23
0,43.6704403,-79.45328549999999,15
0,43.6535,-79.354068,22
0,43.6617908,-79.361515,27
0,43.649709,-79.364184,19
0,43.666051,-79.374161,47
0,43.7005976,-79.397345,19
0,43.7029672,-79.3979073,15
0,43.68871,-79.39264,19
0,43.6834703,-79.5108942,22
0,43.7696262,-79.5025943,27
0,43.7641485,-79.5012809,27
0,43.76521,-79.491281,23
0,43.7724019,-79.4675395,19
0,43.7781116,-79.467963,31
0,43.707049,-79.40966,23
0,43.711751,-79.378615,31
0,43.732975,-79.40401,15
0,43.660274,-79.398049,20
0,43.699281,-79.318802,19
0,43.707582,-79.311439,24
0,43.696631,-79.297436,19
0,43.650077,-79.391291,23
0,43.6765897,-79.3163022,19
0,43.650745,-79.383633,17
0,43.720233,-79.362092,27
0,43.6926825,-79.441042,19
0,43.7041957,-79.4094472,14
0,43.7078691,-79.39248,15
0,43.591561,-79.545827,33
0,43.5880774,-79.5432067,23
0,43.754978,-79.1971289,11
0,43.6856,-79.3718,20
0,43.637764,-79.345359,49
0,43.6629228,-79.4018451,36
0,43.660296,-79.397107,16
0,43.788319,-79.123505,23
0,43.7805505,-79.1301203,25
0,43.7777114,-79.1659711,27
0,43.779353,-79.193023,23
0,43.747854,-79.199327,19
0,43.7561681,-79.2026694,27
0,43.6002896,-79.5108692,23
0,43.6615467,-79.498398,15
0,43.6632257,-79.4397052,17
0,43.680095,-79.291714,15
0,43.691468,-79.288619,18
0,43.645609,-79.380386,43
0,43.6591666666667,-79.3855555555556,23
0,43.658777,-79.369596,32
0,43.6625395,-79.5030161,15
0,43.7004017,-79.4275305,17
0,43.77953,-79.45233,15
0,43.7774374,-79.4447096,23
0,43.6637403,-79.39806449999999,15
0,43.707045,-79.375437,15
0,43.6495789,-79.3762096,19
0,43.6637,-79.400053,19
0,43.690903,-79.4375028,16
0,43.643253094827294,-79.41230469904167,15
0,43.6029904,-79.4926867,19
0,43.6596299,-79.4799176,15
0,43.6608333,-79.43166666666667,15
0,43.66083333333333,-79.43583333333333,22
0,43.69933,-79.39199,19
0,43.6653032,-79.4701178,15
0,43.6162721,-79.4990363,19
0,43.720645,-79.355474,27
0,43.6641174,-79.4588522,15
0,43.6424558,-79.4296346,15
0,43.6954486,-79.4026176,19
0,43.6850809,-79.3149901,15
0,43.6800218,-79.3405681,16
0,43.7842419,-79.1849889,16
0,43.6451308,-79.36536439999999,15
0,43.6482995,-79.3552533,19
0,43.65637299999999,-79.38781039999999,17
0,43.657838,-79.38631,20
0,43.778015,-79.131911,19
0,43.672079,-79.470171,23
0,43.690237,-79.350119,19
0,43.70942,-79.39139,19
0,43.671389,-79.382919,15
0,43.671561,-79.38117,23
0,43.669576,-79.375961,15
0,43.669903,-79.387802,11
0,43.693256,-79.383238,14
0,43.65412449999999,-79.4636388,7
0,43.680207,-79.339243,15
0,43.6589882,-79.438715,11
0,43.6741219,-79.4352208,16
0,43.6469928,-79.3706665,19
0,43.683884,-79.36647,25
0,43.6578449,-79.3899265,18
0,43.6477785,-79.3847928,16
0,43.6856128,-79.31168269999999,19
0,43.681944,-79.390556,11
0,43.671771,-79.324961,19
0,43.64534,-79.409597,26
0,43.6393107,-79.4408141,19
0,43.68306889999999,-79.279682,22
0,43.6626628,-79.3323698,15
0,43.681114,-79.3373885,15
0,43.638925,-79.4168659,15
0,43.676216,-79.309395,15
0,43.652822,-79.378208,23
0,43.656311,-79.379158,39
0,43.656633,-79.379625,19
0,43.686962,-79.286864,16
0,43.718039,-79.371914,17
0,43.672152,-79.39018,15
0,43.673019,-79.467994,19
0,43.72268,-79.37644,15
0,43.6504218,-79.4407647,26
0,43.68850459999999,-79.3940052,19
0,43.641705,-79.393295,31
0,43.647663,-79.487583,23
0,43.6558557,-79.3894093,20
0,43.720998,-79.377456,11
0,43.72814640000001,-79.4032194,12
0,43.652327224103,-79.3882538196087,19
0,43.6438602,-79.4227573,11
0,43.7093201,-79.3996301,12
0,43.64920406876699,-79.49336334201408,27
0,43.6503935,-79.3860211,27
0,43.6399714,-79.39940399999999,16
0,43.68827060022711,-79.43937767081853,19
0,43.6614605,-79.37894570000002,24
0,43.69413548199171,-79.30058718775287,20
0,43.7254665,-79.40115449999999,23
0,43.7083577,-79.39886200000001,35
0,43.640978,-79.376785,23
0,43.63840090000001,-79.4197107,17
0,43.7027268,-79.33368089999999,19
0,43.70567,-79.310554,18
0,43.635,-79.4088888888889,19
0,43.656784782853144,-79.35627385059036,15
0,43.732016,-79.403637,15
0,43.67515255542865,-79.38849615969643,14
0,43.67468857448634,-79.36701962396272,19
0,43.727365488246306,-79.3814254607724,16
0,43.6846177,-79.39245919999999,16
0,43.645835578756525,-79.32088910859937,15
0,43.77345,-79.5002,16
0,43.686442,-79.313404,15
0,43.66402799999999,-79.40297869999999,35
0,43.6544839,-79.34105699999999,24
0,43.6481303,-79.38632,20
0,43.65049,-79.3873,39
0,43.64134790000001,-79.4013882,23
0,43.64215,-79.377,23
0,43.663337,-79.446444,15
0,43.6392777,-79.4115736,19
0,43.645102,-79.39744979999999,22
0,43.6602021,-79.4342726,12
0,43.644887,-79.45641169999999,15
0,43.680012,-79.34403250000001,26
0,43.641952,-79.380723,14
0,43.637381,-79.406112,15
0,43.63811,-79.397877,27
0,43.64957,-79.432446,15
0,43.64191,-79.378325,15
0,43.6700692,-79.2971326,26
0,43.6559476,-79.37558829999999,19
0,43.707212,-79.2952873,19
0,43.6677628,-79.30811709999999,19
0,43.6750806,-79.3068697,19
0,43.6754247,-79.4547813,13
0,43.6467433,-79.446895,19
0,43.6409957,-79.40966630000001,23
0,43.6593483,-79.34993659999999,18
0,43.67168,-79.421192,19
0,43.652634,-79.374222,16
0,43.6519501,-79.4060978,27
0,43.6613642,-79.3641171,19
0,43.6808774,-79.3304491,19
0,43.6623658,-79.3413344,19
0,43.6791345,-79.3263159,27
0,43.6478206,-79.3704721,15
0,43.635495,-79.40352209999999,19
0,43.6868681,-79.3110942,20
0,43.678177,-79.435364,15
0,43.6962302,-79.39504339999999,23
0,43.667076,-79.425116,15
0,43.649217,-79.465319,26
0,43.68005,-79.43469,15
0,43.675648,-79.4527619,19
0,43.6677246,-79.4041365,18
0,43.66496415990742,-79.38355031526893,26
0,43.648437,-79.39838,12
0,43.6673,-79.374,31
0,43.6517925,-79.38269509999999,23
0,43.6372958,-79.4423237,19
0,43.6554793,-79.4302462,15
0,43.686352,-79.415894,22
0,43.6442457,-79.41610440000001,19
0,43.7741,-79.5005,15
0,43.683979,-79.410657,15
0,43.6472019,-79.3953394,15
0,43.6513927,-79.35794659999999,15
0,43.6647688,-79.3772602,17
0,43.6506,-79.381285,22
0,43.6408346,-79.3429074,15
0,43.6586525,-79.440502,23
0,43.6585504,-79.4497659,19
0,43.6484201,-79.40051919999999,28
0,43.6461512,-79.3998214,11
0,43.693187,-79.314283,11
0,43.6425791,-79.40011729999999,11
0,43.6469251,-79.3733192,19
0,43.644395,-79.40065430000001,16
0,43.6463574,-79.391206,11
0,43.6682342,-79.3702641,15
0,43.6791876,-79.39071899999999,15
0,43.674446,-79.398331,15
0,43.6334636,-79.4143057,19
0,43.6352007,-79.4187711,14
0,43.6501644,-79.48296909999999,31
0,43.636804,-79.408832,42
0,43.6658804,-79.38761010000002,20
0,43.68035,-79.28357,15
0,43.6535052,-79.3667689,19
0,43.702418581463505,-79.2563167072858,15
0,43.68824135931814,-79.27046628033244,14
0,43.691688,-79.265027,15
0,43.697490048103,-79.25655146462776,15
0,43.69401297794256,-79.26257204548136,15
0,43.6929478,-79.28339980000001,15
0,43.6950192,-79.27180659999999,15
0,43.69263249999999,-79.4627536,19
0,43.7105975,-79.2541175,15
0,43.69415,-79.45782580000001,19
0,43.668500046272165,-79.3946235999697,19
0,43.70163,-79.44099,19
0,43.688028,-79.460265,15
0,43.68323,-79.455765,23
0,43.69466,-79.45376999999999,14
0,43.6784834,-79.3513564,9
0,43.65016869999999,-79.4963345,19
0,43.6492,-79.50601999999999,15
0,43.6897656,-79.2939525,15
0,43.6537513,-79.4028245,17
0,43.6357643,-79.4674917,22
0,43.64839,-79.51008,15
0,43.62369169999999,-79.4838132,15
0,43.648657,-79.458111,15
0,43.671293,-79.380471,23
0,43.699327072589426,-79.4493630391668,15
0,43.63560589999999,-79.4934616,15
0,43.7611741,-79.5114452,18
0,43.6428899,-79.3946346,18
0,43.7603624,-79.5162777,18
0,43.62313,-79.4918,22
0,43.772445,-79.511912,15
0,43.653359,-79.365023,11
0,43.70643614257429,-79.25104443353288,11
0,43.655972,-79.370638,15
0,43.666874,-79.381155,12
